Institución,Tipo/Código del proceso,Nombre del proceso,Resultado,Monto,Fecha Resultado
Presidencia de la República,Libre gestión 20200044,SUMINISTRO DE MATERIALES DE FERRETERÍA,Adjudicada,$173.50,19/03/2020
Corporación Salvadoreña de Turismo (CORSATUR),Libre gestión 20200022,"Contratación del suministro de agua purificada envasada para la Corporación Salvadoreña de Turismo. Ver Especificaciones Técnicas y anexos en archivos adjuntos. Única fecha para presentar oferta 06 de Marzo de 2020. Horario de 8:30 am a 12:00 md. Establecer en oferta crédito/. Completar Formulario de Identificación del Ofertante. Cotización Firmada y Numerada en cada una de sus páginas. El ofertante ganador deberá presentar declaración de integridad con firma legalizada por Notario Según aplique (P. Natural o P. Jurídica) Establecer en oferta que no se encuentra en ninguna de las situaciones previstas en el Art. 25 Ley LACAP, Ni impedido para participar como ofertante, por no encontrarme en ninguna de las situaciones previstas en el Art. 26 LACAP.",Adjudicada,"$3,329.20",19/03/2020
Consejo Nacional de Energía,Libre gestión LG-0156-2020,Lona Banner para aviso de traslado a nuevo local del CNE,Formalizado,$122.04,19/03/2020
"Hospital Nacional ""San Juan de Dios"", San Miguel",Libre gestión 20200066,COMPRA DE VIDRIOS CELOSÍAS Y OPERADORES PARA VENTANA.,Adjudicada,$630.00,19/03/2020
"Hospital Nacional ""San Juan de Dios"", San Miguel",Libre gestión 20200073,COMPRA DE ANCLAS PLÁSTICAS Y TORNILLOS LAMINA DE DIFERENTES MEDIDAS.,Adjudicada,$116.50,19/03/2020
"Hospital Nacional ""San Juan de Dios"", San Miguel",Libre gestión 20200072,COMPRA DE PINTURA DE ACEITE Y SOLVENTE INDUSTRIAL,Adjudicada,$213.80,19/03/2020
,,Monto Total Adjudicado:,,"$47,047,240.53",
Municipalidad de San Bartolomé Perulapía,Libre gestión 20200003,"SEGUNDO PROCESO PARA CONTRATACION DE SUPERVISION EXTERNA PARA EL PROYECTO ""CONSTRUCCION DE PUENTE VEHICULAR SOBRE RIO CHANGUISTE, CANTON LAS LOMAS, MUNICIPIO DE SAN BARTOLOME PERULAPIA, DEPARTAMENTO DE CUSCATLAN",Adjudicada,"$28,500.00",19/03/2020
Instituto Salvadoreño para el Desarrollo de la Mujer (ISDEMU),Libre gestión 20200061,REPARACIÓN DE VEHÍCULO TIPO PICK UP MARCA MITSUBISHI UBICADO EN OFICINA CENTRAL DE ISDEMU.,Adjudicada,$535.00,19/03/2020
Instituto Salvadoreño para el Desarrollo de la Mujer (ISDEMU),Libre gestión 20200062,REPARACIÓN DE VEHICULO TIPO CAMIONETA MONTERO MARCA MITSUBISHI UBICADO EN OFICINA CENTRAL DE ISDEMU.,Adjudicada,"$1,265.00",19/03/2020
Instituto Salvadoreño para el Desarrollo de la Mujer (ISDEMU),Libre gestión 20200063,REPARACIÓN DE VEHÍCULO TIPO PICK UP MARCA MAZDA UBICADO EN LA OFICINA DE CHALATENANDO,Adjudicada,"$1,706.00",19/03/2020
Municipalidad de Izalco,Libre gestión 20200182,"SERVICIO DE SUPERVISION DEL PROYECTO: AMPLIACIÓN DE ENERGÍA ELÉCTRICA EN COMUNIDAD SANTA ISABEL II, CANTON TESHCAL, MUNICIPIO DE IZALCO, DEPARTAMENTO DE SONSONATE",Adjudicada,"$1,100.00",19/03/2020
Presidencia de la República,Libre gestión 20200043,SUMINISTRO DE BATERÍA PARA VEHÍCULO,Adjudicada,$110.00,19/03/2020
Corporación Salvadoreña de Turismo (CORSATUR),Libre gestión 20200027,"Suministro de combustible por medio de cupones para el consumo de los vehículos propiedad de CORSATUR. Ver Especificaciones Técnicas y anexos en archivos adjuntos. Única fecha para presentar oferta 16 de Marzo de 2020. Horario de 8:30 am a 12:00 md. Establecer en oferta crédito/. Completar Formulario de Identificación del Ofertante. Cotización Firmada y Numerada en cada una de sus páginas. El ofertante ganador deberá presentar declaración de integridad con firma legalizada por Notario Según aplique (P. Natural o P. Jurídica) Establecer en oferta que no se encuentra en ninguna de las situaciones previstas en el Art. 25 Ley LACAP, Ni impedido para participar como ofertante, por no encontrarme en ninguna de las situaciones previstas en el Art. 26 LACAP",Adjudicada,"$20,000.00",19/03/2020
Corporación Salvadoreña de Turismo (CORSATUR),Libre gestión 20200014,"Contratar Servicios de Almacenaje de Archivos para salvaguardar los archivos históricos de CORSATUR.Ver Especificaciones Técnicas y anexos en archivos adjuntos. Única fecha para presentar oferta 27 de Febrero de 2020. Horario de 8:30 am a 12:00 md. Establecer en oferta crédito/. Completar Formulario de Identificación del Ofertante. Cotización Firmada y Numerada en cada una de sus páginas. El ofertante ganador deberá presentar declaración de integridad con firma legalizada por Notario Según aplique (P. Natural o P. Jurídica) Establecer en oferta que no se encuentra en ninguna de las situaciones previstas en el Art. 25 Ley LACAP, Ni impedido para participar como ofertante, por no encontrarme en ninguna de las situaciones previstas en el Art. 26 LACAP.",Adjudicada,"$7,100.00",19/03/2020
Instituto Salvadoreño para el Desarrollo de la Mujer (ISDEMU),Libre gestión 20200065,REPARACIÓN DE VEHICULO TIPO PICK UP MARCA MITSUBISHI UBICADO EN LA OFICINA PIVLVM,Adjudicada,$497.00,19/03/2020
"Hospital Nacional de Ilobasco, Cabañas",Libre gestión 20200056,CEMENTO PORTLAN,Adjudicada,$796.00,19/03/2020
Ministerio de Gobernación (MIGOB),Libre gestión 20200024,"SUMINISTRO DE AGUA EMBOTELLADA PARA CONSUMO DE LAS OFICINAS DE LA DIRECCION DE RECONSTRUCCION DE TEJIDO SOCIAL, DEPENDENCIA DEL MINISTERIO DE GOBERNACION Y DESARROLLO TERRITORIAL",Adjudicada,"$1,068.60",19/03/2020
"Hospital Nacional de Ilobasco, Cabañas",Libre gestión 20200054,"MANTENIMIENTO PREVENTIVO Y CORRECTIVO PARA AMBULANCIA: MARCA HYUNDAI, PLACA: 11-571. SEGÚN COTIZACIÓN. (VEHÍCULO EN GARANTÍA)",Adjudicada,$185.08,19/03/2020
"Hospital Nacional de Ilobasco, Cabañas",Libre gestión 20200051,QUÍMICOS (REACTIVOS),Adjudicada,$654.00,19/03/2020
Fondo Nacional de Vivienda Popular (FONAVIPO),Libre gestión 20200157,COMPRA DE MATERIALES PARA MANTENIMIENTO DE EDIFICIO DE FONAVIPO,Adjudicada,$702.78,19/03/2020
Municipalidad de San Antonio Del Monte,Libre gestión 20200175,"40 FOCOS AHORRATIVOS DE 65w A 220V, 30 FOTOCELDAS, 100 SCHOTCH LOOK, 1 CAJA DE TUBO FLUORESCENTE DE 40W A 110V, 10 SOQUETS DE PORCELANA PARA FAROLITO, 5 BASES PARA FOTOCELDA, 5 CINTA AISLANTE 1700, 15 LLIBRAS DE ALAMBRE GALVANIZADO #16, 5 TOMAS MACHO TIPO AGUILA Y 10 RECEPTORES TIPO AGUILA",Adjudicada,$588.25,19/03/2020
,,Monto Total Adjudicado:,,"$47,047,240.53",
Municipalidad de San Antonio Del Monte,Libre gestión 20200178,"7 LAMPARAS COMPLETAS DE 65, 4 CAÑOS GALVANIZADOS DE 4´´, 3 TAPONES PVC 4´´, 20 METROS DE CABLE DUPLEX 6 ALUMINIO, 50 METROS DE CABLE #12 COLOR ROJO Y 3 LIBRAS DE ALAMBRE GALVANIZADO #16",Adjudicada,$516.30,19/03/2020
Municipalidad de San Antonio Del Monte,Libre gestión 20200188,"POR COMPRA DE 6 METROS CÚBICOS DE DESALOJO, 40 METROS CÚBICOS DE TIERRA BLANCA, 10 METROS CÚBICOS DE ARENA, 80 BOLSAS DE CEMENTO Y 36 VARAS DE TABLA PINO",Adjudicada,"$1,008.25",19/03/2020
Municipalidad de Aguilares,Libre gestión 20200029,"SUMINISTRO DE IMPLEMENTOS DEPORTIVOS(UNIFORMES, TROFEOS Y PELOTAS)",Adjudicada,"$1,151.30",19/03/2020
Presidencia de la República,Libre gestión 20200042,"SUMINISTRO DEL SERVICIO DE MANTENIMIENTO PREVENTIVO PARA SISTEMAS DE ALIMENTACIÓN INTERRUMPIDA(SAI, EN INGLES UNINTERRUMTIBLE POWER SUPPY ,UPS)",Adjudicada,"$1,610.25",19/03/2020
Municipalidad de Mejicanos,Libre gestión 20200043,"30- Piñatas medianas de diferentes diseños, 30- Bolsas de dulces, 3- Cajas de galletas de 16 unidades, 34- Paquetes de gaseosa mini 6.50 12 unidades.",Adjudicada,$351.32,19/03/2020
Instituto Salvadoreño de Formación Profesional (INSAFORP),Libre gestión 20200432,COMPRA DE INSUMOS EN EL PLAN DE CONTINGENCIA PARA LA PREVENCIÓN DEL COVID-19,Adjudicada,$542.52,19/03/2020
Municipalidad de Mejicanos,Libre gestión 20200048,"4- Alquiler de canopis de 5 x 7. para actividades culturales de zona san Roque de Mejicanos. En el marco del programa ""Desarrollo Cultura y Recreativo de Jóvenes.""",Adjudicada,$176.00,19/03/2020
Municipalidad de Mejicanos,Libre gestión 20200052,"1- Servicio de transporte de autobús, partiendo de San Roque y San Ramón, hacia casa de la Juventud. Actividad de entrega de diplomas del programa de Alfabetización.",Adjudicada,$56.00,19/03/2020
Instituto de Previsión Social de la Fuerza Armada (IPSFA),Libre gestión 20200061,LIBRE GESTIÓN LG1-118/2020 SERVICIO DE CARGA DE EXTINTORES DE FUEGO PARA VEHÍCULOS PROPIEDAD DEL IPSFA,Adjudicada,$67.68,19/03/2020
Municipalidad de Mejicanos,Libre gestión 20200045,1- Servicio de presentación artística musical; 6- Docenas de cohete de vara.,Adjudicada,$240.00,19/03/2020
Municipalidad de Mejicanos,Libre gestión 20200109,"Compra de sincronizador, filtros, válvulas, maxifrenos y rash de frenos, según detalle en archivo adjunto.",Adjudicada,$547.78,19/03/2020
"Hospital Nacional ""Santa Teresa"", Zacatecoluca, La Paz",Libre gestión 20200026,AGUA ENVASADA PURIFICADA GARRAFA DE 5 GALONES CADA UNA,Adjudicada,"$9,998.80",19/03/2020
Ministerio de Relaciones Exteriores (RR.EE.),Libre gestión 20200178,"IMPRESIÓN DE COMPROBANTES DE RETENCIÓN, SEGÚN DETALLE EN ADJUNTO.",Adjudicada,$300.00,19/03/2020
Policía Nacional Civil (PNC),Libre gestión 20200038,"1	SERVICIO DE MANTENIMIENTO PREVENTIVO PARA ELAVADOR DE DELEGACION SAN SALVADOR CENTRO. ¿	Especificaciones técnicas anexas con nombre: ¿TERMINOS DE REFERENCIA 5-51294.pdf¿ ¿	Visita de campo el día 09/03/2020 a las 9:00 horas, en la dirección, Final avenida Iberia, Colonia Monserrat, Contiguo a mercado DELEGACION SAN SALVADOR CENTRO. Ultimo día de recepción de oferta: 10/03/2020",Adjudicada,"$1,017.00",19/03/2020
Asamblea Legislativa,Libre gestión 20200037,SUMINISTRO DE ALCOHOL GEL Y DISPENSADOR PLÁSTICOS.,Adjudicada,"$5,790.00",19/03/2020
,,Monto Total Adjudicado:,,"$47,047,240.53",
Fondo de Protecciónde Lisiados y Discapacitados a Consecuencia del Conflicto Armado (FOPROLYD),Libre gestión 20200029,Se requiere la contratación para el SERVICIO DE MANTENIMIENTO DE DESODORIZACIÓN DE BAÑOS Y AROMATIZACIÓN DE LAS INSTALACIONES DE FOPROLYD; de conformidad a requerimiento adjunto,Adjudicada,"$2,745.10",19/03/2020
"Hospital Nacional ""Dr. Jorge Mazzini Villacorta"", Sonsonate",Libre gestión 20200050,CONFECCIÓN DE ROPA HOSPITALARIA PARA PROCESOS QUIRÚRGICOS,Adjudicada,"$1,056.80",19/03/2020
Fondo Social para la Vivienda (FSV),Libre gestión 20200051,Servicio de apertura de chapas. Servicio de cambio de combinación de cerraduras. Servicio de reparación de chapas. Suministro de cadena y candado si la vivienda presenta más de una chapa de acceso principal. Notas: Los servicios se requieren para todo el territorio Nacional. La cotización deberá especificar en valor de cada servicio. Los requerimientos se efectuarán por el Administrador Administrador de la Orden de Compra de acuerdo a sus necesidades. El FSV se reserva el derecho de cancelar únicamente los servicios requeridos y no necesariamente la totalidad del monto establecido en la Orden de Compra. Forma de pago: parcial después de cada servicio.,Adjudicada,"$2,964.00",19/03/2020
Corte de Cuentas de la República (CCR),Libre gestión 20200070,ADQUISICIÓN DE AÑCOHOL GEL EN PRESENTACIÓN DE GALONES Y FRASCOS DE 500 ML PARA LA CORTE DE CUENTAS DE LA REPUBLICA,Adjudicada,"$2,127.00",19/03/2020
Ministerio de Gobernación (MIGOB),Libre gestión 20200019,"ADQUISICIÓN DE INSUMOS ALIMENTICIOS PARA EL CONSUMO DEL PERSONAL DE APOYO A LAS EMEMRGENCIAS DEL CUERPO DE BOMBEROS DE EL SALVADOR, Y PERSONAL DE APOYO DEL PROGRAMA YO CAMBIO PARA EL AÑO 2020",Adjudicada,"$3,914.90",19/03/2020
"Hospital Nacional de la Mujer ""Doctora María Isabel Rodríguez""",Libre gestión 20200015,"ANUNCIO DE NOTIFICACION DE RESULTADOS. LICITACION PUBLICA No. 5/2020 ""SUMINISTRO DE INSUMOS MÉDICOS, PUESTOS EN EL ALMACÉN DEL HOSPITAL NACIONAL DE LA MUJER ""DRA. MARIA ISABEL RODRIGUEZ"", NECESIDAD PARCIAL PARA EL AÑO 2020, FONDO GENERAL.",Adjudicada,$94.92,19/03/2020
"Hospital Nacional ""Santa Gertrudis"", San Vicente",Libre gestión 20200042,ADQUISICION DE COLCHONES PARA CAMA HOSPITALARIA,Adjudicada,"$1,155.00",19/03/2020
"Hospital Nacional ""Dr. Jorge Mazzini Villacorta"", Sonsonate",Libre gestión 20200052,R/ 1 CODIFICO: 80601086 Hipoclorito de sodio(lejía liquida) del 12% al 15% de concentración bidones de 15 a 17 galones R/ 2 80601033 Detergente liquido para uso en lavadoras alta concentración bidones de 15 a 17 galones,Adjudicada,"$9,997.36",19/03/2020
Ministerio de Trabajo y Previsión Social (MTPS),Libre gestión 20190301,"Contratación de Servicio de Telecomunicaciones para el MTPS, periodo del 1 de noviembre al 31 de diciembre de 2019",Adjudicada,"$30,000.00",19/03/2020
"Hospital Nacional ""Dr. Jorge Mazzini Villacorta"", Sonsonate",Libre gestión 20200053,MATERIAL DE MANTENIMIENTO,Adjudicada,$231.00,19/03/2020
Ministerio de Hacienda (MHDA),Libre gestión 20200188,ADQUISICIÓN DE LAMINAS Y DISCOS DE ACERO,Adjudicada,$404.95,19/03/2020
Ministerio de Relaciones Exteriores (RR.EE.),Libre gestión 20200185,Una computadora portátil Un maletín para computadora portátil Un mouse optico. Una tablet electronica. Un teclado para tableta electronica. Anexo archivo.,Adjudicada,"$5,770.00",19/03/2020
Municipalidad de Santa Tecla,Libre gestión 20200048,ADQUISICIÓN DE CAPAS PARA COLABORADORES DE LA ALCALDÍA MUNICIPAL DE SANTA TECLA,Adjudicada,"$14,605.00",19/03/2020
Fondo Nacional de Vivienda Popular (FONAVIPO),Libre gestión 20200183,"SERVICIO DE EMPASTADOS DE CARÁCTER URGENTE DE 1 LIBRO DE ACTAS DE JUNTA DIRECTIVA, Y 3 LIBROS ANEXOS DE JUNTA DIRECTIVA.",Adjudicada,$60.00,19/03/2020
Unidad Técnica Ejecutiva del Sector Justicia (UTE),Libre gestión 20200034,COMPRA DE 90 GALONES DE JABON ANTIBACTERIAL LIQUIDO,Adjudicada,$135.00,19/03/2020
,,Monto Total Adjudicado:,,"$47,047,240.53",
Municipalidad de Aguilares,Libre gestión 20200036,SUMINISTRO DE CONOS AULADOS,Adjudicada,$186.45,19/03/2020
Fondo Social para la Vivienda (FSV),Libre gestión 20200113,"Suministro de 420 unidades de alcohol isopropílico 60-90% o alcohol etílico 70%, bolsa de 800 ml para dispensador. Tiempo de entrega: hasta 3 días hábiles contados a partir de la fecha establecida en la Orden de Inicio. Lugar de entrega: Almacén 4a. Calle Poniente entre 15 y 17 av. sur, San Salvador. Entrega: completa según solicitud de Administrador del Contrato. Garantía: cambio de producto por desperfectos de fábrica.",Adjudicada,"$3,158.40",19/03/2020
"Hospital Nacional Psiquiátrico ""Dr. José Molina Martínez"", Soyapango, San Salvador",Libre gestión 20200062,CAFETRA DE METAL CON CAPACIDAD PARA 30 TAZAS.,Adjudicada,$67.00,19/03/2020
Municipalidad de Izalco,Libre gestión 20200262,"COMPRA DE PENTAQUAT 20 LTS , CITROSAN ii , JABONERA COMPLETA 1400 ML , JABONERA MANUAL COMP 100 ML QUE SERAN UTILIZADOS EN ZONA URBANA Y CIUDAD",Adjudicada,"$1,809.39",19/03/2020
Fiscalía General de la República (FGR),Libre gestión 20200072,servicio de mantenimiento vehiculo p----878-021,Adjudicada,$128.20,19/03/2020
Centro Nacional de Tecnología Agropecuaria y Forestal (CENTA),Libre gestión 20200113,REPARACION DE IMPRESOR HPLAERJET PRO MFP M227DW. SE SOLICITA VISITA DE CAMPO EN LAS INSTALACIONES DE LA INSTITUCION.,Adjudicada,$120.00,19/03/2020
Ministerio de Justicia y Seguridad Pública,Libre gestión 20200138,ADQUISICION DE PRODUCTOS FARMACEUTICOS E INSUMOS MEDICOS PARA LA CLINICA EMPRESARIAL DEL MINISTERIO DE JUSTICIA Y SEGURIDAD PUBLICA,Adjudicada,"$9,281.00",19/03/2020
Fiscalía General de la República (FGR),Libre gestión 20200067,caja de seguridad segun detalles adjuntos,Adjudicada,"$1,600.00",19/03/2020
Ministerio de Justicia y Seguridad Pública,Libre gestión 20200144,SERVICIO DE PUBLICACION DE AVISO DE VENTA REGISTRO RECEPCION Y APERTURA DE OFERTAS DE LICITACION ABIERTA DR-CAFTA-LA-07/2020-MJSP y LA-DR-CAFTA No. DR-CAFTA-LA-16/2020.,Adjudicada,$203.40,19/03/2020
Centro Nacional de Registros (CNR),Libre gestión 20200042,FUENTE DE PODER ELECTRICA,Adjudicada,"$1,098.00",19/03/2020
Dirección Municipal para la Gestión Sustentable de Desechos Sólidos,Libre gestión 20200092,"SERVICIO DE ARRENDAMIENTO DE LAVAMANOS PORTÁTILES PARA SER COLOCADOS EN LAS DIFERENTES PLAZAS DEL MUNICIPIO DE SAN SALVADOR PARA LA PREVENCIÓN DEL COVID-19, CONTRIBUYENDO A LA REDUCCIÓN DEL IMPACTO DEL BROTE DEL MISMO",Adjudicada,"$4,635.00",19/03/2020
"Hospital Nacional de Nueva Concepción, Chalatenango",Libre gestión 20200016,"COMPRA DE PAPEL TOALLA PARA DISPENSADOR, ROLLO DE 130 METROS, PARA EL HOSPITAL NACIONAL DE NUEVA CONCEPCIÓN.",Adjudicada,"$3,492.72",19/03/2020
Ministerio de Justicia y Seguridad Pública,Libre gestión 20200143,"SERVICIO DE PUBLICACION DE AVISO DE VENTA, REGISTRO, RECEPCION Y APERTURA DE OFERTAS DE LICITACION ABIERTA DR-CAFTA-LA-15/2020-MJSP ""ADQUISICION DE AGUA PURIFICADA PA EL MINISTERIO DE JUSTICIA Y SEGURIDAD PUBLICA""-",Adjudicada,$101.70,19/03/2020
Asamblea Legislativa,Libre gestión 20200035,SUMINISTRO DE MATERIALES VARIOS,Adjudicada,"$10,299.33",19/03/2020
Fondo Nacional de Vivienda Popular (FONAVIPO),Libre gestión 20200182,COMPRA DE ALIMENTOS DE CARÁCTER URGENTE PARA ATENDER REUNIÓN DE JUNTA DIRECTIVA (REFRIGERIOS),Adjudicada,$20.00,19/03/2020
,,Monto Total Adjudicado:,,"$47,047,240.53",
Superintendencia del Sistema Financiero,Libre gestión 20200082,"ADQUISICIÓN DE GUANTES DE LÁTEX EN DIFERENTES TALLAS, SEGÚN ESPECIFICACIONES TÉCNICAS ANEXAS.",Adjudicada,$135.00,19/03/2020
Fondo Nacional de Vivienda Popular (FONAVIPO),Libre gestión 20200181,COMPRA DE ALIMENTOS DE CARÁCTER URGENTE PARA TENDER REUNIÓN DE COMITÉ DE LAVADO DE DINERO. (DESAYUNOS Y ALMUERZOS),Adjudicada,$145.45,19/03/2020
Municipalidad de San Antonio Del Monte,Libre gestión 20200191,"POR COMPRA DE 1 STANDALONE DVR-16 VIDEO CHANNELS NETWORKED, 1HDD Y 1 UPS-LINE INTERACTIVE 360 WATT, 120 V, 6 NEMA OUTLETS",Adjudicada,$310.00,19/03/2020
Asociacion para el Desarrollo CLUSA de El Salvador,Libre gestión 20200004,"Tanques plásticos bicapa, sin flltro",Adjudicada,"$4,113.20",19/03/2020
Superintendencia del Sistema Financiero,Libre gestión 20200030,ADQUISICIÓN DE PAPEL BOND Y PAPEL FANTASIA SEGÚN ESPECIFICACIONES TÉCNICAS ANEXAS,Adjudicada,"$3,608.65",19/03/2020
Banco de Desarrollo de El Salvador (BANDESAL),Libre gestión 20200134,Suministro de bolsas para BANDESAL y los fondos que este administra,Adjudicada,$420.00,19/03/2020
Policía Nacional Civil (PNC),Libre gestión 20200027,1.SERVICIO DE READECUACIÓN Y HABILITACIÓN DE LA OFICINA UNIMUJER-ODAC SAN MIGUEL SEGUN TDR,Adjudicada,"$25,511.13",19/03/2020
Fondo Social para la Vivienda (FSV),Libre gestión 20200112,"Suministro e instalación de 7 lectores biométricos con tecnología de reconocimiento facial, huellas y tarjeta de proximidad, gestión de tiempo y asistencia con función de control de acceso (apertura de puertas), dos cámaras infrarrojas (IR) integradas para ambientes de baja iluminación, verificación de usuarios: menos de 0.5 segundos , capacidad facial: 1500 empleados, capacidad huellas: 2000 empleados (1:N) capacidad de tarjetas de proximidad: 2000 empleados, memoria de eventos: 100,000 registros, comunicación en red, vía TCP/IP y puerto USB, pantalla multimedia táctil (touch screen) a colores de 3"", puerto USB para descargar marcas al no haber red disponible, debe incluir instalación de equipo y software en área metropolitana de San Salvador, 1 instalación de reloj facial en Santa Ana, 1 instalación de reloj marcador facial en San Miguel.",Adjudicada,"$2,401.21",19/03/2020
Instituto Salvadoreño del Seguro Social (ISSS),Libre gestión 20200049,ADQUISICIÓN DE RELOJ BIOMETRICO PARA EL HOSPITAL MÉDICO QUIRURGICO DEL ISSS,Adjudicada,"$2,100.00",19/03/2020
Fondo de Protecciónde Lisiados y Discapacitados a Consecuencia del Conflicto Armado (FOPROLYD),Libre gestión 20200020,SERVICIO DE RENOVACIÓN DE LICENCIAS DE DISPOSITIVOS DE PROTECCIÓN PERIMETRAL Y CORREO INSTITUCIONAL,Adjudicada,"$12,310.00",19/03/2020
Banco de Desarrollo de El Salvador (BANDESAL),Licitación/Concurso LP- 04/2020,Suministro de unidad de almacenamiento para el Centro de Datos principal del BDES y migración de información,Desierta,,19/03/2020
"Hospital Nacional de la Mujer ""Doctora María Isabel Rodríguez""",Licitación/Concurso LP 5/2020 HNM,"""SUMINISTRO DE INSUMOS MÉDICOS, PUESTOS EN EL ALMACÉN DEL HOSPITAL NACIONAL DE LA MUJER ""DRA. MARIA ISABEL RODRIGUEZ"", NECESIDAD PARCIAL PARA EL AÑO 2020, FONDO GENERAL",Adjudicada,"$229,271.82",19/03/2020
Presidencia de la República,Libre gestión 20200041,SUMINISTRO DE EQUIPO INFORMÁTICO Y AUDIO,Adjudicada,"$2,605.00",18/03/2020
Presidencia de la República,Libre gestión 20200040,ARRENDAMIENTO DE EQUIPOS MULTIFUNCIONALES ÁRA REPRODUCCION DE FOTOCOPIAS E IMPRESIONES PARA DMINISTRACION GENERAL Y OTRAS DEPENDENCIAS.,Adjudicada,"$5,500.00",18/03/2020
Fondo Social para la Vivienda (FSV),Libre gestión 20200038,SERVICIO DE CORRESPONDENCIA VIA AEREA DEL FONDO SOCIAL PARA LA VIVIENDA,Adjudicada,"$25,000.00",18/03/2020
,,Monto Total Adjudicado:,,"$47,047,240.53",
Banco Central de Reserva de El Salvador (BCR),Libre gestión 20200050,Suministro de Tablets,Adjudicada,"$1,999.90",18/03/2020
"Hospital Nacional de la Mujer ""Doctora María Isabel Rodríguez""",Libre gestión 20200004,"¿SUMINISTRO DE FORMULA SEMI O ELEMENTAL, LATAS DE LECHE EN POLVO PARA NEONATOS DE TERMINO CON VENCIMIENTO NO MENOR DE QUINCE MESES, LATAS DE LECHE EN POLVO PARA NEONATOS DE BAJO PESO CON VENCIMIENTO NO MENOR DE QUINCE MESES Y FORMULA PARA RECIEN NACIDOS DE BAJO PESO, PUESTA EN EL ALMACEN DEL HOSPITAL NACIONAL DE LA MUJER ""DRA. MARIA ISABEL RODRIGUEZ"", PARA EL AÑO 2020¿. FONDO GENERAL",Adjudicada,"$12,720.88",18/03/2020
Municipalidad de Atiquizaya,Libre gestión 20200077,compra de insumos correspondientes al mes de enero para ser utilizado en la residencia del adulto mayor,Adjudicada,$232.25,18/03/2020
Municipalidad de Mejicanos,Libre gestión 20200110,"Reconstrucción de los paquetes e hojas traseras, según archivo adjunto.",Adjudicada,$274.00,18/03/2020
Municipalidad de Mejicanos,Libre gestión 20200108,"Compra de 4- planetarios para K2700, (Coronas): para equipo N° 39, placas N° 5920. Kia de saneamiento ambiental.",Adjudicada,$282.50,18/03/2020
Ministerio de Relaciones Exteriores (RR.EE.),Libre gestión 20200170,"Una refrigeradora tipo mini-bar de 4 a 4.5 pies, capacidad de 90 a 125 litros, 120V, una puerta, tres estantes y controlador de temperatura. Anexo archivo.",Adjudicada,$300.00,18/03/2020
Banco de Fomento Agropecuario (BFA),Libre gestión 20200148,ADQUISICIÓN DE 15 COMPUTADORAS PORTÁTILES PARA EL BFA,Adjudicada,"$16,339.80",18/03/2020
Ministerio de Justicia y Seguridad Pública,Libre gestión 20200116,"ANGULO DE ALUMINIO, TEE DE ALUMINIO PARA CIELO FALSO, PISO TRAFICO PESADO, CEMENTO DE CONTACTO, PINTURA DE AGUA Y POLIN DE 4""",Adjudicada,"$2,404.90",18/03/2020
Ministerio de Justicia y Seguridad Pública,Libre gestión 20200092,"Servicio de suscripción de ejemplar del periódico El Mundo, con vigencia del 01 de abril al 31 de diciembre 2020",Adjudicada,$270.00,18/03/2020
Ministerio de Justicia y Seguridad Pública,Libre gestión 20200106,"19 MTS. CUADRADOS DE MELAMINA 3/4"" COLOR BLANCO EN PIEZAS SEGUN DETALLE ANEXO",Adjudicada,"$2,375.00",18/03/2020
Ministerio de Justicia y Seguridad Pública,Libre gestión 20200093,"TRASLADO DE ENLACE DE DATOS (3) TIPO 1 (2) Y 2 (1) SE GUN DETALLE: A) TIPO 1 DE SUC. USULUTAN; CENTRO COMERCIAL PUERTAS DE OTE. LOCAL Nº20 HACIA PUERTO LA UNION CENTROAMERICANA, UBICADA EN FINAL Bº CONCEPCION C. LAS PLAYITAS MUNICIPIO Y DEPTO. DE LA UNION. B) TIPO 1 DEL PUERTO DE LA UNION CENTROAMERICANA FINAL Bº CONCEPCION C. LAS PLAYITAS, MUNICIPIO Y DEPTO. DE LA UNION HACIA OFICINAS DE ARCHIVO DE EXTRANJERIA EXHOTEL ALAMEDA, EN ALAMEDA ROOSTVELT Y 43 AV. SUR COL FLOR BLANCA S.S. Y C) TIPO 2 DE USULUTAN CENTRO COMERCIAL PUERTAS DE OTE. LOCAL Nº20 KM 113 CARRETERA DEL LITORAL, HACIA PUERTO LA UNION CENTROAMERICA EN FINAL Bº CONCEPCION C. LAS PLAYITAS DEL MUNICIPIO Y DEPTO. DE LA UNION",Adjudicada,"$2,235.40",18/03/2020
Municipalidad de Mejicanos,Libre gestión 20200053,"2- Servicios de transporte de autobús, partiendo de diferentes puntos de Mejicanos hacia Panchimalco. En el marco del programa ""Fortalecimiento a la Organización Comunitaria. """,Adjudicada,$220.00,18/03/2020
Municipalidad de Metapán,Libre gestión 20200063,"cielo falso , facia: para elproyecto 162015 CENTRO MUNICIPAL DEFORMACION Y ATENCION INTEGRAL EJECUTADO CON FINANCIAMIENTO DE LA UNION EUROPEA Y AECID A TRAVES DE LA SG-SICA",Adjudicada,"$16,708.97",18/03/2020
Instituto Salvadoreño del Seguro Social (ISSS),Libre gestión 20200032,SUMINISTRO DE HIPOCLORITO DE SODIO PARA DEPENDENCIAS DEL ISSS,Adjudicada,"$35,948.00",18/03/2020
